username,bio,followers,following,posts,account_age_days,has_profile_pic,verified,digits_in_username,username_len,numeric_ratio,special_chars,bio_len,contains_link,contains_offer,contains_money,label
mohit_kumar,Software dev. Open to collaborations. Always learning,313,14,341,1891,1,0,0,11,0.0,1,53,0,0,1,0
amit.chauhan,Teaching coding to kids. Loves music,38,79,253,30,1,0,0,12,0.0,1,36,0,0,0,0
manish.mehta,Engineer. Coffee lover. Building stuff.,192,385,62,2404,1,0,0,12,0.0,1,39,0,0,0,0
ravipatel,Teaching coding to kids.,611,18,224,936,1,0,0,9,0.0,0,24,0,0,0,0
nnyhwgho5059,Official reseller contact now https://tiny.one/deal,28,90,24,207,1,0,4,12,0.3333333333333333,0,51,1,0,0,1
anand.mehta,Student | CSE | Learning every day,229,201,32,1704,1,0,0,11,0.0,1,34,0,0,1,0
amitchauhan,Software dev. Open to collaborations.,585,219,85,30,1,0,0,11,0.0,0,37,0,0,0,0
amitverma,Software dev. Open to collaborations.,918,254,399,30,1,0,0,9,0.0,0,37,0,0,0,0
sara_kumar,I love programming and hiking.,16,258,19,1354,1,0,0,10,0.0,1,30,0,0,0,0
rahulpatel,Design enthusiast. Likes cats and coffee.,108,152,124,279,1,0,0,10,0.0,0,41,0,0,0,0
amit.mehta,Foodie. Runner. Occasional poet.,143,192,525,1477,1,0,0,10,0.0,1,32,0,0,0,0
_291azhzkn,Buy followers cheap. Get verified now! contact now,65,1279,28,1,0,0,3,10,0.3,1,50,0,1,0,1
nwcgimsmzb6390,Official reseller contact now,54,488,18,213,1,0,4,14,0.2857142857142857,0,29,0,0,0,1
manish.yadav,Engineer. Coffee lover. Building stuff.,201,150,61,70,1,0,0,12,0.0,1,39,0,0,0,0
mohit.mehta,Student | CSE | Learning every day,490,41,13,1272,1,0,0,11,0.0,1,34,0,0,1,0
hfcgotgnha1114,"Best crypto signals, 100% profit",28,536,11,233,1,0,4,14,0.2857142857142857,0,32,0,0,1,1
anand_das,Teaching coding to kids. Based in India,127,540,383,30,1,0,0,9,0.0,1,39,0,0,0,0
rahul_agarwal,Student | CSE | Learning every day,209,79,200,1176,1,0,0,13,0.0,1,34,0,0,1,0
priyakaushal,Engineer. Coffee lover. Building stuff.,122,506,1,763,0,0,0,12,0.0,0,39,0,0,0,0
amitverma,Student | CSE | Learning every day,241,269,99,3112,1,0,0,9,0.0,0,34,0,0,1,0
priyakumar,Student | CSE | Learning every day,80,132,84,1501,1,0,0,10,0.0,0,34,0,0,1,0
bot89657,Work from home earn $$$ daily,3,56,36,1,0,0,5,8,0.625,0,29,0,0,1,1
sara.chauhan,Photographer. Traveler. Mom of two.,210,292,9,712,1,0,0,12,0.0,1,35,0,0,0,0
ishakaushal,Foodie. Runner. Occasional poet. Open to connect,257,25,5,2142,1,0,0,11,0.0,0,48,0,0,0,0
manishchauhan,Software dev. Open to collaborations.,91,109,6,1029,1,0,0,13,0.0,0,37,0,0,0,0
manish.kumar,Photographer. Traveler. Mom of two. Open to connect,178,172,126,211,1,0,0,12,0.0,1,51,0,0,0,0
tusharkumar,Helping startups grow. Ex-Product Manager.,33,91,15,302,1,0,0,11,0.0,0,42,0,0,0,0
zgxuawydy416,Work from home earn $$$ daily,72,1694,70,184,1,0,3,12,0.25,0,29,0,0,1,1
dothn3dg,"Get likes instantly, guaranteed results #free",60,167,19,404,1,0,1,8,0.125,0,45,0,1,0,1
manishsharma,Software dev. Open to collaborations. Loves music,182,131,212,429,1,0,0,12,0.0,0,49,0,0,0,0
store2126,Click link to win free iPhone!!! contact now,129,28,13,1,0,0,4,9,0.4444444444444444,0,44,0,1,0,1
samshop968,"Best crypto signals, 100% profit #giveaway",121,471,15,1,0,0,3,10,0.3,0,42,0,1,1,1
anandkaushal,Helping startups grow. Ex-Product Manager. Open to connect,573,163,108,215,1,1,0,12,0.0,0,58,0,0,0,0
sara_das,Software dev. Open to collaborations.,31,3,497,2296,1,0,0,8,0.0,1,37,0,0,0,0
eyztvewce8151,DM for offers. Limited time. Visit my site visit my page,4,574,53,1,1,0,4,13,0.3076923076923077,0,56,0,1,0,1
real3745,Work from home earn $$$ daily https://tiny.one/deal,42,67,17,1,1,0,4,8,0.5,0,51,1,0,1,1
cjfkbzm6800,"Best crypto signals, 100% profit",105,523,45,527,0,0,4,11,0.36363636363636365,0,32,0,0,1,1
tushargupta,Design enthusiast. Likes cats and coffee. Based in India,293,28,55,1810,0,0,0,11,0.0,0,56,0,0,0,0
xxhe7ic,Click link to win free iPhone!!! #giveaway,17,101,28,438,1,0,1,7,0.14285714285714285,0,42,0,1,0,1
realguru997,Work from home earn $$$ daily,32,127,19,72,0,0,3,11,0.2727272727272727,0,29,0,0,1,1
sarasharma,Engineer. Coffee lover. Building stuff.,189,32,626,1003,1,0,0,10,0.0,0,39,0,0,0,0
sara.kaushal,Engineer. Coffee lover. Building stuff.,70,27,34,874,1,0,0,12,0.0,1,39,0,0,0,0
dotmw3uqhwtek,"Best crypto signals, 100% profit visit my page",41,10,0,541,0,0,1,13,0.07692307692307693,0,46,0,0,1,1
dotd41j2patd,Work from home earn $$$ daily #offer,29,848,43,123,1,0,3,12,0.25,0,36,0,1,1,1
dot9c5so79h,"Best crypto signals, 100% profit",122,245,35,1,1,0,4,11,0.36363636363636365,0,32,0,0,1,1
priyaagarwal,I love programming and hiking.,43,547,208,1333,1,0,0,12,0.0,0,30,0,0,0,0
erqwfyso9988,Work from home earn $$$ daily #promo,22,1391,6,225,1,0,4,12,0.3333333333333333,0,36,0,0,1,1
isha_mehta,Design enthusiast. Likes cats and coffee. Based in India,121,241,217,1719,1,0,0,10,0.0,1,56,0,0,0,0
alex98991,Work from home earn $$$ daily contact now,3,244,6,343,0,0,5,9,0.5555555555555556,0,41,0,0,1,1
nehayadav,Foodie. Runner. Occasional poet.,108,814,154,2169,1,0,0,9,0.0,0,32,0,0,0,0
johnshop126,Official reseller contact now,28,1018,3,1,1,0,3,11,0.2727272727272727,0,29,0,0,0,1
botreal11,Official reseller contact now visit my page,147,123,7,1,0,0,2,9,0.2222222222222222,0,43,0,0,0,1
nehachauhan,I love programming and hiking.,281,117,203,2334,1,0,0,11,0.0,0,30,0,0,0,0
arpitasharma,Engineer. Coffee lover. Building stuff.,77,12,53,182,1,0,0,12,0.0,0,39,0,0,0,0
manishkumar,Teaching coding to kids.,131,102,8,1121,1,0,0,11,0.0,0,24,0,0,0,0
manishagarwal,Teaching coding to kids.,262,431,24,2547,0,0,0,13,0.0,0,24,0,0,0,0
rahuldas,I love programming and hiking.,163,241,79,2000,1,0,0,8,0.0,0,30,0,0,0,0
sam93476,"Best crypto signals, 100% profit contact now #promo",35,3,23,15,0,0,5,8,0.625,0,51,0,0,1,1
dots7nvv28u,Click link to win free iPhone!!! #promo,22,1932,10,129,0,0,3,11,0.2727272727272727,0,39,0,1,0,1
tusharsharma,Teaching coding to kids.,209,481,189,2270,1,0,0,12,0.0,0,24,0,0,0,0
ravidas,Engineer. Coffee lover. Building stuff. Open to connect,599,122,96,1494,1,0,0,7,0.0,0,55,0,0,0,0
xq6mym8j2l,Official reseller contact now #free,24,1701,23,1,1,0,3,10,0.3,0,35,0,1,0,1
priya.chauhan,Foodie. Runner. Occasional poet.,239,107,315,1172,1,0,0,13,0.0,1,32,0,0,0,0
mohit.sharma,I love programming and hiking.,68,350,122,30,1,0,0,12,0.0,1,30,0,0,0,0
mohit.das,Foodie. Runner. Occasional poet.,190,390,54,1289,1,0,0,9,0.0,1,32,0,0,0,0
gurustore359,Buy followers cheap. Get verified now!,10,69,7,54,0,0,3,12,0.25,0,38,0,1,0,1
amit.kaushal,Design enthusiast. Likes cats and coffee.,77,36,60,2406,1,0,0,12,0.0,1,41,0,0,0,0
priya.kumar,Student | CSE | Learning every day Loves music,843,84,664,136,1,0,0,11,0.0,1,46,0,0,1,0
rahulkumar,Foodie. Runner. Occasional poet. Always learning,665,123,185,1151,1,0,0,10,0.0,0,48,0,0,1,0
rahul_agarwal,Software dev. Open to collaborations.,1235,10,15,422,1,0,0,13,0.0,1,37,0,0,0,0
rahulkaushal,Software dev. Open to collaborations. Open to connect,61,8,3,1985,1,0,0,12,0.0,0,53,0,0,0,0
annaalex878,"Get likes instantly, guaranteed results contact now",74,72,12,1,0,0,3,11,0.2727272727272727,0,51,0,0,0,1
ishakumar,Foodie. Runner. Occasional poet.,10,306,1,2747,1,0,0,9,0.0,0,32,0,0,0,0
rahul.yadav,Software dev. Open to collaborations.,430,447,85,30,1,0,0,11,0.0,1,37,0,0,0,0
ndzunmiupssq9077,"Best crypto signals, 100% profit",24,1092,44,891,0,0,4,16,0.25,0,32,0,0,1,1
dotp8guucm5,DM for offers. Limited time. Visit my site visit my page #offer,20,477,52,103,0,0,2,11,0.18181818181818182,0,63,0,1,0,1
arpitakaushal,Photographer. Traveler. Mom of two.,180,65,478,1648,1,0,0,13,0.0,0,35,0,0,0,0
ravi.gupta,I love programming and hiking.,46,173,49,659,1,0,0,10,0.0,1,30,0,0,0,0
amit_kaushal,Helping startups grow. Ex-Product Manager.,2015,11,129,30,1,0,0,12,0.0,1,42,0,0,0,0
xxh9194b70l,Click link to win free iPhone!!!,4,83,11,1,0,0,6,11,0.5454545454545454,0,32,0,1,0,1
dotr4glgpjdj,DM for offers. Limited time. Visit my site http://bit.ly/offer,19,45,7,122,0,0,1,12,0.08333333333333333,0,62,1,1,0,1
tushar.agarwal,I love programming and hiking. Based in India,1019,579,61,1877,1,1,0,14,0.0,1,45,0,0,0,0
tushar.kaushal,Design enthusiast. Likes cats and coffee. Based in India,10,332,444,1317,1,0,0,14,0.0,1,56,0,0,0,0
xxhm56vu6z,"Best crypto signals, 100% profit https://tiny.one/deal",4,88,64,3,0,0,3,10,0.3,0,54,1,0,1,1
priyasingh,Design enthusiast. Likes cats and coffee. Open to connect,89,119,177,1219,1,0,0,10,0.0,0,57,0,0,0,0
epilrvuyrb4034,Buy followers cheap. Get verified now! contact now #promo,66,2693,6,696,1,0,4,14,0.2857142857142857,0,57,0,1,0,1
xsxlsutothl,Work from home earn $$$ daily #promo,26,92,75,784,0,0,0,11,0.0,0,36,0,0,1,1
xduvl911,Official reseller contact now http://bit.ly/offer #giveaway,95,344,18,173,1,0,3,8,0.375,0,59,1,1,0,1
manish.verma,Helping startups grow. Ex-Product Manager.,356,144,695,30,1,0,0,12,0.0,1,42,0,0,0,0
zbvwtnej732,DM for offers. Limited time. Visit my site https://tiny.one/deal,47,231,29,1,0,0,3,11,0.2727272727272727,0,64,1,1,0,1
fqaxfryag5419,DM for offers. Limited time. Visit my site,21,282,30,1,1,0,4,13,0.3076923076923077,0,42,0,1,0,1
tushar.kumar,Software dev. Open to collaborations.,198,315,128,2058,1,0,0,12,0.0,1,37,0,0,0,0
arpita.chauhan,Design enthusiast. Likes cats and coffee.,81,50,105,762,1,0,0,14,0.0,1,41,0,0,0,0
ugasbtdrbceu1089,DM for offers. Limited time. Visit my site https://tiny.one/deal,15,4,20,1,1,0,4,16,0.25,0,64,1,1,0,1
arpita.yadav,Design enthusiast. Likes cats and coffee. Based in India,1023,169,298,1673,1,0,0,12,0.0,1,56,0,0,0,0
nehasingh,Photographer. Traveler. Mom of two.,45,168,303,2505,1,0,0,9,0.0,0,35,0,0,0,0
shop24189,Click link to win free iPhone!!!,23,48,12,286,1,0,5,9,0.5555555555555556,0,32,0,1,0,1
anand.das,Engineer. Coffee lover. Building stuff.,150,403,41,599,1,0,0,9,0.0,1,39,0,0,0,0
arpita.sharma,Engineer. Coffee lover. Building stuff.,677,679,87,202,1,0,0,13,0.0,1,39,0,0,0,0
amit.mehta,Engineer. Coffee lover. Building stuff.,116,149,174,1951,1,0,0,10,0.0,1,39,0,0,0,0
frlwbgnodzb1067,Work from home earn $$$ daily http://bit.ly/offer,2,25,9,1,1,0,4,15,0.26666666666666666,0,49,1,1,1,1
amit.kaushal,Student | CSE | Learning every day,130,75,101,394,1,1,0,12,0.0,1,34,0,0,1,0
xiwucx67xkw,Work from home earn $$$ daily #promo,18,1842,10,1,0,0,2,11,0.18181818181818182,0,36,0,0,1,1
dotq5ik0,Work from home earn $$$ daily,29,429,81,333,1,0,2,8,0.25,0,29,0,0,1,1
johnalex470,Work from home earn $$$ daily,62,467,1,1,1,0,3,11,0.2727272727272727,0,29,0,0,1,1
annashop431,Work from home earn $$$ daily contact now,56,33,18,1,1,0,3,11,0.2727272727272727,0,41,0,0,1,1
lifeshop136,Official reseller contact now https://tiny.one/deal #free,92,15,37,304,0,0,3,11,0.2727272727272727,0,57,1,1,0,1
arpitachauhan,Teaching coding to kids.,185,49,21,746,1,0,0,13,0.0,0,24,0,0,0,0
neha.yadav,Student | CSE | Learning every day,290,157,20,303,1,0,0,10,0.0,1,34,0,0,1,0
manish.yadav,Software dev. Open to collaborations.,102,54,36,2519,1,0,0,12,0.0,1,37,0,0,0,0
isha_kumar,Software dev. Open to collaborations.,73,91,74,625,1,0,0,10,0.0,1,37,0,0,0,0
manishkumar,Software dev. Open to collaborations. Based in India,1124,618,241,290,1,0,0,11,0.0,0,52,0,0,0,0
_7w05y2da,"Best crypto signals, 100% profit",35,751,39,1,1,0,4,9,0.4444444444444444,1,32,0,0,1,1
amitpatel,Design enthusiast. Likes cats and coffee.,559,89,174,882,1,0,0,9,0.0,0,41,0,0,0,0
anand.mehta,Photographer. Traveler. Mom of two. Loves music,362,1,78,1064,1,0,0,11,0.0,1,47,0,0,0,0
sara.yadav,Foodie. Runner. Occasional poet. Always learning,119,236,218,1949,1,0,0,10,0.0,1,48,0,0,1,0
neha_singh,Teaching coding to kids. Loves music,104,118,194,728,1,0,0,10,0.0,1,36,0,0,0,0
arvypexzyoxz6061,Click link to win free iPhone!!! visit my page,59,2185,5,425,0,0,4,16,0.25,0,46,0,1,0,1
isycpuaxkew3146,"Get likes instantly, guaranteed results http://bit.ly/offer",123,85,27,581,0,0,4,15,0.26666666666666666,0,59,1,1,0,1
hllbttlcodz174,Official reseller contact now visit my page,41,160,12,358,0,0,3,14,0.21428571428571427,0,43,0,0,0,1
guru88077,Buy followers cheap. Get verified now!,109,421,19,1,0,0,5,9,0.5555555555555556,0,38,0,1,0,1
isha_yadav,Helping startups grow. Ex-Product Manager.,219,10,39,30,1,0,0,10,0.0,1,42,0,0,0,0
xxlse33dcnf,"Best crypto signals, 100% profit http://bit.ly/offer",10,350,7,75,1,0,2,11,0.18181818181818182,0,52,1,1,1,1
techsam159,"Get likes instantly, guaranteed results",14,311,2,1,0,0,3,10,0.3,0,39,0,0,0,1
ravi_singh,Photographer. Traveler. Mom of two. Loves music,448,330,219,1454,1,0,0,10,0.0,1,47,0,0,0,0
xxbcltr,DM for offers. Limited time. Visit my site,6,516,35,657,0,0,0,7,0.0,0,42,0,1,0,1
arpitachauhan,Teaching coding to kids. Loves music,183,150,5,1985,1,0,0,13,0.0,0,36,0,0,0,0
dtewtfkvhkq3575,Work from home earn $$$ daily visit my page,50,42,11,218,0,0,4,15,0.26666666666666666,0,43,0,0,1,1
ravi.gupta,Photographer. Traveler. Mom of two. Loves music,42,235,237,30,1,0,0,10,0.0,1,47,0,0,0,0
x1za0dv6ny,Official reseller contact now,8,55,3,123,0,0,3,10,0.3,0,29,0,0,0,1
gurubot491,Buy followers cheap. Get verified now! contact now,31,56,20,416,0,0,3,10,0.3,0,50,0,1,0,1
rkwiuy6606,Work from home earn $$$ daily,101,880,19,1,1,0,4,10,0.4,0,29,0,0,1,1
ishayadav,Helping startups grow. Ex-Product Manager.,145,572,141,706,1,0,0,9,0.0,0,42,0,0,0,0
xxvgdof,Buy followers cheap. Get verified now! contact now,90,619,2,1,1,0,0,7,0.0,0,50,0,1,0,1
priya.gupta,Teaching coding to kids.,305,83,909,1957,1,0,0,11,0.0,1,24,0,0,0,0
anand.chauhan,Student | CSE | Learning every day Based in India,91,65,400,1810,1,0,0,13,0.0,1,49,0,0,1,0
xxr8wmlww,"Get likes instantly, guaranteed results visit my page",183,1856,1,253,1,0,1,9,0.1111111111111111,0,53,0,0,0,1
sarasharma,Engineer. Coffee lover. Building stuff.,517,207,156,1481,1,0,0,10,0.0,0,39,0,0,0,0
xqxmhiusxzuo3750,Official reseller contact now https://tiny.one/deal,202,1214,11,1,1,0,4,16,0.25,0,51,1,0,0,1
tushar_sharma,Photographer. Traveler. Mom of two.,12,89,262,901,1,0,0,13,0.0,1,35,0,0,0,0
arpita.gupta,Foodie. Runner. Occasional poet.,17,111,94,2678,1,0,0,12,0.0,1,32,0,0,0,0
store32330,DM for offers. Limited time. Visit my site,131,512,7,1,0,0,5,10,0.5,0,42,0,1,0,1
saragupta,Helping startups grow. Ex-Product Manager.,1078,89,97,1234,1,0,0,9,0.0,0,42,0,0,0,0
manish.agarwal,Engineer. Coffee lover. Building stuff.,131,229,162,406,1,0,0,14,0.0,1,39,0,0,0,0
dot3ajfax1cq,DM for offers. Limited time. Visit my site contact now,18,66,21,376,0,0,2,12,0.16666666666666666,0,54,0,1,0,1
mohit_gupta,Teaching coding to kids. Open to connect,12,182,305,1099,1,1,0,11,0.0,1,40,0,0,0,0
newsstore377,DM for offers. Limited time. Visit my site contact now,30,40,22,390,0,0,3,12,0.25,0,54,0,1,0,1
isha.kumar,Engineer. Coffee lover. Building stuff.,516,56,82,1448,1,0,0,10,0.0,1,39,0,0,0,0
guru94024,Official reseller contact now http://bit.ly/offer,10,53,48,1,1,0,5,9,0.5555555555555556,0,49,1,1,0,1
gtziktmonqk2539,"Get likes instantly, guaranteed results",85,713,0,36,0,0,4,15,0.26666666666666666,0,39,0,0,0,1
annaanna57,Official reseller contact now #free,20,395,1,453,0,0,2,10,0.2,0,35,0,1,0,1
ydikqkn4745,Work from home earn $$$ daily contact now,70,436,4,1,1,0,4,11,0.36363636363636365,0,41,0,0,1,1
neha_patel,Student | CSE | Learning every day,17,177,275,811,1,0,0,10,0.0,1,34,0,0,1,0
nxthone3302,"Best crypto signals, 100% profit",0,25,17,1,1,0,4,11,0.36363636363636365,0,32,0,0,1,1
life37415,Work from home earn $$$ daily contact now #giveaway,21,453,6,397,1,0,5,9,0.5555555555555556,0,51,0,1,1,1
arpita.patel,Design enthusiast. Likes cats and coffee.,10,265,147,2445,1,0,0,12,0.0,1,41,0,0,0,0
amit.mehta,Software dev. Open to collaborations.,337,46,65,1616,1,0,0,10,0.0,1,37,0,0,0,0
rahul.kaushal,Photographer. Traveler. Mom of two.,40,27,169,282,1,0,0,13,0.0,1,35,0,0,0,0
storeshop616,"Best crypto signals, 100% profit contact now",5,837,17,239,0,0,3,12,0.25,0,44,0,0,1,1
ravi.patel,Student | CSE | Learning every day,288,304,182,1710,1,0,0,10,0.0,1,34,0,0,1,0
rahul.kaushal,Foodie. Runner. Occasional poet.,101,204,56,1559,0,0,0,13,0.0,1,32,0,0,0,0
tjhqhaddl3353,Click link to win free iPhone!!!,158,16,17,256,0,0,4,13,0.3076923076923077,0,32,0,1,0,1
xxe0q5,Official reseller contact now visit my page #promo,9,134,13,1,1,0,2,6,0.3333333333333333,0,50,0,0,0,1
neha.singh,Foodie. Runner. Occasional poet. Always learning,738,47,23,1203,1,0,0,10,0.0,1,48,0,0,1,0
tech5781,Official reseller contact now visit my page,121,79,20,586,0,0,4,8,0.5,0,43,0,0,0,1
alexlife278,"Best crypto signals, 100% profit contact now",13,85,23,540,0,0,3,11,0.2727272727272727,0,44,0,0,1,1
doti4bnvqrfxn,"Get likes instantly, guaranteed results visit my page",18,297,10,261,1,0,1,13,0.07692307692307693,0,53,0,0,0,1
_91fy6yo,Work from home earn $$$ daily visit my page,207,172,6,360,1,0,3,8,0.375,1,43,0,0,1,1
dotty6m79fmw0,"Best crypto signals, 100% profit #free",14,1234,6,1,0,0,4,13,0.3076923076923077,0,38,0,1,1,1
xtsujt70y,"Best crypto signals, 100% profit http://bit.ly/offer",113,54,21,85,0,0,2,9,0.2222222222222222,0,52,1,1,1,1
dotu0y9i,Official reseller contact now https://tiny.one/deal,145,564,7,246,0,0,2,8,0.25,0,51,1,0,0,1
mohit.mehta,Student | CSE | Learning every day,62,72,14,2286,1,0,0,11,0.0,1,34,0,0,1,0
qyeahfvrbl1948,Work from home earn $$$ daily,7,69,20,1,1,0,4,14,0.2857142857142857,0,29,0,0,1,1
amit.yadav,Design enthusiast. Likes cats and coffee.,65,20,27,2277,1,0,0,10,0.0,1,41,0,0,0,0
tushar_chauhan,Helping startups grow. Ex-Product Manager.,231,226,172,191,1,0,0,14,0.0,1,42,0,0,0,0
priyasingh,Helping startups grow. Ex-Product Manager.,297,61,5,1978,1,0,0,10,0.0,0,42,0,0,0,0
xjdi3wdn,Buy followers cheap. Get verified now! contact now #offer,42,893,95,66,0,0,1,8,0.125,0,57,0,1,0,1
anand_patel,Photographer. Traveler. Mom of two.,53,235,168,327,1,0,0,11,0.0,1,35,0,0,0,0
mohit.verma,Design enthusiast. Likes cats and coffee.,480,22,227,1835,1,0,0,11,0.0,1,41,0,0,0,0
tushargupta,Teaching coding to kids. Always learning,723,96,149,30,1,0,0,11,0.0,0,40,0,0,1,0
shopsam703,DM for offers. Limited time. Visit my site #promo,18,718,55,1,0,0,3,10,0.3,0,49,0,1,0,1
jhfwpmsvyded9915,"Get likes instantly, guaranteed results contact now",141,96,41,1,0,0,4,16,0.25,0,51,0,0,0,1
lifenews108,Work from home earn $$$ daily visit my page,3,155,48,355,0,0,3,11,0.2727272727272727,0,43,0,0,1,1
official87133,Buy followers cheap. Get verified now! https://tiny.one/deal,50,638,5,534,0,0,5,13,0.38461538461538464,0,60,1,1,0,1
orlzjg1094,"Best crypto signals, 100% profit",7,865,5,1,1,0,4,10,0.4,0,32,0,0,1,1
htkjnan4356,"Get likes instantly, guaranteed results visit my page",52,259,18,26,1,0,4,11,0.36363636363636365,0,53,0,0,0,1
anand.patel,Teaching coding to kids.,513,1467,35,1547,1,0,0,11,0.0,1,24,0,0,0,0
ravi_verma,Photographer. Traveler. Mom of two.,92,217,504,1204,1,0,0,10,0.0,1,35,0,0,0,0
mohit.agarwal,Foodie. Runner. Occasional poet.,475,29,568,1886,1,0,0,13,0.0,1,32,0,0,0,0
bot56616,Click link to win free iPhone!!!,166,89,7,14,1,0,5,8,0.625,0,32,0,1,0,1
amityadav,Software dev. Open to collaborations.,507,95,13,800,1,0,0,9,0.0,0,37,0,0,0,0
ishachauhan,Software dev. Open to collaborations.,125,796,149,250,1,0,0,11,0.0,0,37,0,0,0,0
shop8704,"Get likes instantly, guaranteed results https://tiny.one/deal",214,859,6,10,1,0,4,8,0.5,0,61,1,0,0,1
storelife826,Buy followers cheap. Get verified now! visit my page,3,29,2,317,0,0,3,12,0.25,0,52,0,1,0,1
anandyadav,I love programming and hiking.,205,370,88,1309,1,0,0,10,0.0,0,30,0,0,0,0
anand.sharma,Teaching coding to kids.,369,263,28,2291,1,0,0,12,0.0,1,24,0,0,0,0
officialofficial608,"Get likes instantly, guaranteed results visit my page",3,224,15,1,0,0,3,19,0.15789473684210525,0,53,0,0,0,1
annareal530,Official reseller contact now visit my page,278,321,33,512,0,0,3,11,0.2727272727272727,0,43,0,0,0,1
uhrjoiupeswq3370,"Get likes instantly, guaranteed results",45,1088,10,5,1,0,4,16,0.25,0,39,0,0,0,1
anand.sharma,Teaching coding to kids.,278,198,81,613,1,0,0,12,0.0,1,24,0,0,0,0
techsam258,Click link to win free iPhone!!!,66,192,14,1,0,0,3,10,0.3,0,32,0,1,0,1
yylzphofblzp7804,Work from home earn $$$ daily http://bit.ly/offer #giveaway,8,1606,38,20,1,0,4,16,0.25,0,59,1,1,1,1
tusharkaushal,I love programming and hiking.,431,31,1,2029,1,0,0,13,0.0,0,30,0,0,0,0
isha.patel,Engineer. Coffee lover. Building stuff. Based in India,10,176,91,1008,0,0,0,10,0.0,1,54,0,0,0,0
fptyjga9570,Buy followers cheap. Get verified now! #promo,27,633,11,102,1,0,4,11,0.36363636363636365,0,45,0,1,0,1
sarasingh,Design enthusiast. Likes cats and coffee.,395,53,251,115,1,0,0,9,0.0,0,41,0,0,0,0
pxxharlww7309,DM for offers. Limited time. Visit my site http://bit.ly/offer,13,494,35,224,0,0,4,13,0.3076923076923077,0,62,1,1,0,1
dottj5r,"Best crypto signals, 100% profit",26,149,40,1,1,0,1,7,0.14285714285714285,0,32,0,0,1,1
ishamehta,Student | CSE | Learning every day,200,45,147,2758,1,0,0,9,0.0,0,34,0,0,1,0
neha.patel,Foodie. Runner. Occasional poet. Based in India,133,1087,98,3415,1,0,0,10,0.0,1,47,0,0,0,0
tusharchauhan,Student | CSE | Learning every day,745,322,89,725,1,0,0,13,0.0,0,34,0,0,1,0
xpqppmj6,Buy followers cheap. Get verified now! https://tiny.one/deal #free,63,441,13,51,0,0,1,8,0.125,0,66,1,1,0,1
amit_kaushal,Photographer. Traveler. Mom of two. Loves music,84,492,61,100,1,0,0,12,0.0,1,47,0,0,0,0
dlwekebw854,"Get likes instantly, guaranteed results",152,380,19,1,0,0,3,11,0.2727272727272727,0,39,0,0,0,1
saragupta,Photographer. Traveler. Mom of two. Open to connect,141,20,146,1299,1,0,0,9,0.0,0,51,0,0,0,0
rahulkumar,I love programming and hiking.,177,301,37,941,1,0,0,10,0.0,0,30,0,0,0,0
neha.kaushal,Photographer. Traveler. Mom of two.,783,247,81,273,1,0,0,12,0.0,1,35,0,0,0,0
tushar.yadav,Engineer. Coffee lover. Building stuff.,218,17,625,212,1,0,0,12,0.0,1,39,0,0,0,0
amitagarwal,Teaching coding to kids. Loves music,264,23,506,1966,1,0,0,11,0.0,0,36,0,0,0,0
tushar_singh,Design enthusiast. Likes cats and coffee.,57,208,42,1945,1,0,0,12,0.0,1,41,0,0,0,0
dot7mvz01sos,Work from home earn $$$ daily http://bit.ly/offer #offer,55,476,44,319,0,0,3,12,0.25,0,56,1,1,1,1
dotkar1h11,Work from home earn $$$ daily,4,200,5,369,0,0,3,10,0.3,0,29,0,0,1,1
rahul.yadav,Engineer. Coffee lover. Building stuff.,71,54,49,2104,1,0,0,11,0.0,1,39,0,0,0,0
_qob86,Click link to win free iPhone!!! http://bit.ly/offer,26,133,0,1,0,0,2,6,0.3333333333333333,1,52,1,1,0,1
ishasingh,I love programming and hiking.,10,228,261,202,1,0,0,9,0.0,0,30,0,0,0,0
mohit.sharma,Design enthusiast. Likes cats and coffee.,47,34,234,812,1,0,0,12,0.0,1,41,0,0,0,0
alexalex521,DM for offers. Limited time. Visit my site,48,184,9,137,0,0,3,11,0.2727272727272727,0,42,0,1,0,1
_ln2v51ps,Official reseller contact now,73,832,10,63,0,0,3,9,0.3333333333333333,1,29,0,0,0,1
jrlsgdxcjkbh2178,DM for offers. Limited time. Visit my site https://tiny.one/deal,73,330,45,276,0,0,4,16,0.25,0,64,1,1,0,1
annaalex67,DM for offers. Limited time. Visit my site #promo,119,45,55,247,0,0,2,10,0.2,0,49,0,1,0,1
mclxqzwygox5416,Official reseller contact now,11,817,37,264,0,0,4,15,0.26666666666666666,0,29,0,0,0,1
manishverma,Software dev. Open to collaborations. Loves music,102,608,7,1301,1,0,0,11,0.0,0,49,0,0,0,0
rahulmehta,Engineer. Coffee lover. Building stuff.,257,207,2,257,1,0,0,10,0.0,0,39,0,0,0,0
fuwgxysnkk9282,Buy followers cheap. Get verified now! https://tiny.one/deal #promo,161,22,3,111,0,0,4,14,0.2857142857142857,0,67,1,1,0,1
amitkaushal,Photographer. Traveler. Mom of two.,807,219,259,981,0,0,0,11,0.0,0,35,0,0,0,0
annastore900,Work from home earn $$$ daily,0,390,12,1,1,0,3,12,0.25,0,29,0,0,1,1
guippwcc139,DM for offers. Limited time. Visit my site contact now,57,349,28,99,0,0,3,11,0.2727272727272727,0,54,0,1,0,1
